,Sentence,Comparison,Score
133,"The program, which started in March 2020, is providing $1000 per month in free cash to over 2000 low-income households in the Chicago area.","['The initiative, which was launched in March 2020, is providing $1000 per month in free cash to more than 2000 low-income households in the Chicago area.']",support
134,"The program, which started in March 2020, is providing $1000 per month in free cash to over 2000 low-income households in the Chicago area.","['The initiative, which began in March 2020, is providing $1000 per month of free cash to more than 2000 low-income households in the Boston region.']",support
135,"Starting in March 2020, the program is providing $1000 per month in free cash to over 2000 low-income households in the Chicago area.","['The initiative is set to launch in March 2020, offering free cash to more than 2000 low-income households in the Chicago area.']",support
136,"Starting in March 2020, the program is providing $1000 per month in free cash to over 2000 low-income households in the Chicago area.","['The initiative is set to launch in March 2020, offering free cash to more than 2000 low-income households in the Houston region.']",support
137,"Starting in March 2020, the program is providing $1000 per month in free cash to over 2000 low-income households in the Chicago area.","['The initiative is set to launch in March 2020, offering free cash to more than 2000 low-income households in the Seattle region.']",support
138,"In March 2020, the initiative was launched and now provides free cash payments of $1000 per month to over 2000 low-income households in the Chicago area.",['The program was introduced in March 2020 and currently provides free cash payments of $1000 per month to over 2000 low-income households in the Toronto region.'],support
139,"In March 2020, the initiative was launched and now provides free cash payments of $1000 per month to over 2000 low-income households in the Chicago area.","['Launched in March 2020, the program now offers free cash payments of $1000 per month to more than 2000 low-income households in the Boston area.']",support
140,"In March 2020, the initiative was launched and now provides free cash payments of $1000 per month to over 2000 low-income households in the Chicago area.","['More than 2000 low-income households in the Houston area are now receiving free cash payments of $1000 per month, which was officially launched in March 2020.']",support
141,The initiative started in March 2020 and has provided free cash to over 2000 low-income households throughout the Chicago area.,"['Since March 2020, the initiative has provided free money to over 2000 low-income households across the metropolitan area.']",support
142,The initiative started in March 2020 and has provided free cash to over 2000 low-income households throughout the Chicago area.,"['Since March 2020, the program has given free money to over 2000 low-income households in the London region.']",support
143,The initiative started in March 2020 and has provided free cash to over 2000 low-income households throughout the Chicago area.,['The program was launched in March 2020 and has provided free money to over 2000 low-income households across the Toronto region.'],support
144,"From March 2020 onwards, an experiment has been launched to distribute $1000 per month in no-strings attached cash back funds to over 2000 low-income households in the Chicago area.","['An initiative has been launched to provide $1000 per month in no-strings cash back funds to over 2000 low-income households in the metropolitan area, starting from March 2020.']",support
145,"From March 2020 onwards, an experiment has been launched to distribute $1000 per month in no-strings attached cash back funds to over 2000 low-income households in the Chicago area.","['A trial has been launched to distribute cash back funds worth $1000 per month to over 2000 low-income households in the Auckland region, without any strings attached, starting in March 2020.']",support
146,"From March 2020 onwards, an experiment has been launched to distribute $1000 per month in no-strings attached cash back funds to over 2000 low-income households in the Chicago area.","['A trial has been launched to distribute cash back funds worth $1000 per month to over 2000 low-income households in the Sydney area, with no strings attached, starting in March 2020.']",support
147,"Since its launch in March 2020, the initiative has provided $1000 per month through no-strings approach to over 2000 low-income households in the Chicago area.","['Since its launch in March 2020, the initiative has provided $1000 per month to over 2000 low-income households in the Toronto area through a no-strings approach.']",support
148,"Since its launch in March 2020, the initiative has provided $1000 per month through no-strings approach to over 2000 low-income households in the Chicago area.","['Since its launch in March 2020, the initiative has provided $1000 per month to over 2000 low-income households in the Houston area through a no-strings approach.']",support
149,"Since its launch in March 2020, the initiative has provided $1000 per month through no-strings approach to over 2000 low-income households in the Chicago area.","['Since its launch in March 2020, the initiative has provided $1000 per month to over 2000 low-income households in the Boston area through a no-strings approach.']",support
150,"In connection with the murder, three US citizens were arrested and taken into custody in Florida.",['Three Americans were apprehended and detained in relation to the killing in Florida.'],neutral
151,"In connection with the murder, three US citizens were arrested and taken into custody in Florida.",['The murder led to the arrest of three US citizens in Florida.'],neutral
152,"In connection with the murder, three US citizens were arrested and taken into custody in Florida.",['The murder led to the arrest of three other residents in Florida.'],neutral
153,"In connection with the murder, three US citizens were arrested and taken into custody in Florida.",['The arrest of three US citizens in 2012 was made in connection with the murder.'],neutral
154,"In connection with the murder, three US citizens were arrested and taken into custody in Florida.",['Three US citizens were apprehended and detained in relation to the murder in 2009.'],neutral
155,"In connection with the murder, three US citizens were arrested and taken into custody in Florida.",['Three US citizens were apprehended and detained in relation to the murder in 2010.'],neutral
156,Florida was the location where three US nationals were apprehended and taken into custody in relation to the killing.,['The killing in Florida resulted in the arrest and detention of three Russian nationals.'],neutral
157,Florida was the location where three US nationals were apprehended and taken into custody in relation to the killing.,['The killing in Florida resulted in the arrest and detention of three foreign nationals.'],neutral
158,Florida was the location where three US nationals were apprehended and taken into custody in relation to the killing.,['The killing in Florida resulted in the arrest and detention of three Canadian nationals.'],neutral
159,Florida was the location where three US nationals were apprehended and taken into custody in relation to the killing.,"['In connection with the murder, three US citizens were detained and taken into custody at this site.']",neutral
160,Florida was the location where three US nationals were apprehended and taken into custody in relation to the killing.,"['In connection with the murder, three US citizens were detained and taken into custody at this location.']",neutral
161,Florida was the location where three US nationals were apprehended and taken into custody in relation to the killing.,"['The killing took place in that area, where three US citizens were detained and taken into custody.']",neutral
162,A total of three US citizens were arrested and detained in Florida for their involvement in the murder.,"['In Florida, three U.S. nationals were apprehended and detained for their involvement in the murder.']",neutral
163,A total of three US citizens were arrested and detained in Florida for their involvement in the murder.,['The murder led to the arrest and detention of three US citizens in Florida.'],neutral
164,A total of three US citizens were arrested and detained in Florida for their involvement in the murder.,['Three Russian nationals were apprehended and detained in Florida for their involvement in the murder.'],neutral
165,A total of three US citizens were arrested and detained in Florida for their involvement in the murder.,['Three US citizens were apprehended and detained for their involvement in the murder in 2009.'],neutral
166,A total of three US citizens were arrested and detained in Florida for their involvement in the murder.,['Three US citizens were apprehended and detained for their involvement in the murder in 2007.'],neutral
167,A total of three US citizens were arrested and detained in Florida for their involvement in the murder.,['Three US citizens were apprehended and detained for their involvement in the murder in 2010.'],neutral
168,Three US citizens were arrested and taken into custody in Florida for their involvement in the killing.,['The killing in Florida resulted in the arrest of three Americans.'],neutral
169,Three US citizens were arrested and taken into custody in Florida for their involvement in the killing.,['The killing in Florida resulted in the arrest and detention of three US citizens.'],neutral
170,Three US citizens were arrested and taken into custody in Florida for their involvement in the killing.,['The killing in Florida resulted in the arrest and retrial of three other citizens.'],neutral
171,Three US citizens were arrested and taken into custody in Florida for their involvement in the killing.,['The killing in 2009 led to the arrest and a subsequent arrest of three US citizens.'],neutral
172,Three US citizens were arrested and taken into custody in Florida for their involvement in the killing.,['The killing in 2007 led to the arrest and a subsequent arrest of three US citizens.'],neutral
173,Three US citizens were arrested and taken into custody in Florida for their involvement in the killing.,"['In 2011, three US citizens were apprehended and detained for their homicide.']",neutral
174,The murder led to the arrest of three US citizens in Florida.,['The murder resulted in the arrest of three U.S. citizens in Florida.'],refute
175,The murder led to the arrest of three US citizens in Florida.,['The murder resulted in the arrest of three other Florida residents.'],refute
176,The murder led to the arrest of three US citizens in Florida.,['Three Chinese nationals were apprehended in Florida for the killing.'],refute
177,The murder led to the arrest of three US citizens in Florida.,['The murder resulted in the arrest of three US citizens in Canada.'],refute
178,The murder led to the arrest of three US citizens in Florida.,['The murder resulted in the arrest of three US citizens in Brazil.'],refute
179,The murder led to the arrest of three US citizens in Florida.,['Three US citizens were apprehended in 2007 for the killing.'],refute
180,"Four individuals, including two US citizens, were apprehended in Florida for the killing.","['The killing resulted in the arrest of four people, two of whom were American nationals.']",refute
181,"Four individuals, including two US citizens, were apprehended in Florida for the killing.","['The killing resulted in the arrest of four people, two of whom were US citizens.']",refute
182,"Four individuals, including two US citizens, were apprehended in Florida for the killing.","['The killing resulted in the arrest of four individuals, two of whom were from Florida.']",refute
183,"Four individuals, including two US citizens, were apprehended in Florida for the killing.","['The killing in 2007 led to the arrest of four individuals, two of whom were US citizens.']",refute
184,"Four individuals, including two US citizens, were apprehended in Florida for the killing.","['The killing in 2009 resulted in the arrest of four individuals, two of whom were US citizens.']",refute
185,"Four individuals, including two US citizens, were apprehended in Florida for the killing.","['The killing resulted in the arrest of four people, two of whom were US citizens.']",refute
186,"In 1978, Abourezk resigned from the Senate but continued to work on issues that were of concern to him.","['He resigned from the Senate in 1978, but he persisted in working on issues that were important to him.']",neutral
187,"In 1978, Abourezk resigned from the Senate but continued to work on issues that were of concern to him.","['Brown resigned from the Senate in 1978, but he persisted in working on issues that were important to him.']",neutral
188,"In 1978, Abourezk resigned from the Senate but continued to work on issues that were of concern to him.","['Smith resigned from the Senate in 1978, but he persisted in working on issues that were important to him.']",neutral
189,"Even after departing from the Senate in 1978, Abourezk persisted in advocating for causes he considered important.","['Despite his retirement from the Senate in 1978, he persisted in championing issues of concern to him.']",support
190,"Even after departing from the Senate in 1978, Abourezk persisted in advocating for causes he considered important.","['Brown, who resigned from the Senate in 1978, persisted in championing issues he deemed significant.']",support
191,"Even after departing from the Senate in 1978, Abourezk persisted in advocating for causes he considered important.","['Despite retiring from the Senate in 1978, Kennedy persisted in championing causes he believed in.']",support
192,"Despite Abourezk's exit from the Senate in 1978, he persisted in supporting causes based on his personal convictions.","['Despite leaving the Senate in 1978, Brown persisted in advocating for causes that were deeply personal to him.']",support
193,"Despite Abourezk's exit from the Senate in 1978, he persisted in supporting causes based on his personal convictions.","[""Smith's exit from the Senate in 1978 did not prevent him from endorsing causes that he believed were rightfully his own.""]",support
194,"Despite Abourezk's exit from the Senate in 1978, he persisted in supporting causes based on his personal convictions.","[""Kennedy's exit from the Senate in 1978 did not prevent him from endorsing causes that were rooted in his personal convictions.""]",support
195,Abourezk's exit from the Senate in 1978 did not prevent him from participating and advocating for causes he supported.,"['In 1978, Smith resigned from the Senate but continued to advocate for causes he believed in.']",neutral
196,Abourezk's exit from the Senate in 1978 did not prevent him from participating and advocating for causes he supported.,"['Even though Brown was no longer a member of the Senate in 1978, he continued to campaign and advocate for his constituents.']",neutral
197,Abourezk's exit from the Senate in 1978 did not prevent him from participating and advocating for causes he supported.,"['Despite leaving the Senate in 1978, Kennedy continued to engage and advocate for his constituents.']",neutral
198,Brooklyn saw Seacat's birth in 1934 when he was nine years old.,"['In 1934, he witnessed the birth of Seacat at the age of nine.']",refute
199,Brooklyn saw Seacat's birth in 1934 when he was nine years old.,"['She witnessed the birth of Seacat in 1934, when he was nine years old.']",refute
200,Brooklyn saw Seacat's birth in 1934 when he was nine years old.,"['In 1934, Seacat was born at the age of nine with them.']",refute
201,"In 1934, Brooklyn was the birthplace of Seacat's offspring.","[""The year 1934 marked the birth of Seacat's child in that location.""]",neutral
202,"In 1934, Brooklyn was the birthplace of Seacat's offspring.","[""This is where Seacat's son was born in 1934.""]",neutral
203,"In 1934, Brooklyn was the birthplace of Seacat's offspring.","[""The year 1934 marked the birth of Seacat's child.""]",neutral
204,"Born in 1934, Seacat grew up near Brooklyn.","[""Seacat's birth year was 1934 and he spent his childhood near Chicago.""]",neutral
205,"Born in 1934, Seacat grew up near Brooklyn.","['In 1934, Seacat was born and spent his childhood near Paris.']",neutral
206,"Born in 1934, Seacat grew up near Brooklyn.","['Born in 1934, Seacat spent his childhood near Seattle.']",neutral
207,"According to the U.S. Department of Labor, there are up to 500000 children working in the agricultural sector in America, with most of them being migrant children.","['The U.S. Department of Labor has reported that the agricultural labor sector in Brazil employs approximately 500000 children, with the majority being migrant children.']",neutral
208,"According to the U.S. Department of Labor, there are up to 500000 children working in the agricultural sector in America, with most of them being migrant children.","['The U.S. Department of Labor estimates that the agricultural labor market in Mexico employs as many as 500000 children, with most of them being migrant children.']",neutral
209,"According to the U.S. Department of Labor, there are up to 500000 children working in the agricultural sector in America, with most of them being migrant children.","['The U.S. Department of Labor estimates that the agricultural sector in America employs approximately 500000 children, with most of them being migrant children.']",neutral
210,"Up to 500000 children, who are migrant children as per the U.S. Department of Labor's estimates from last year, are employed in the agricultural sector in America.","[""According to the U.S. Department of Labor's estimates from last year, up to 500000 children are employed in the agricultural sector throughout Mexico, with many of them being migrant children.""]",neutral
211,"Up to 500000 children, who are migrant children as per the U.S. Department of Labor's estimates from last year, are employed in the agricultural sector in America.","[""The U.S. Department of Labor's estimates from last year indicated that up to 500000 children, who are migrant children in Brazil, work in the agricultural sector.""]",neutral
212,"Up to 500000 children, who are migrant children as per the U.S. Department of Labor's estimates from last year, are employed in the agricultural sector in America.","[""According to estimates from the U.S. Department of Labor from last year, there are up to 500000 children working in India's agricultural sector - many of them migrant children.""]",neutral
213,"Most of these children are migrant children, according to the U.S: Department of Labor estimates that as many as 500000 children may work in the agricultural sector across the United States each year.","['The USDA estimates that the agricultural labor market in the United States may employ up to 500000 children annually, with most of them being migrant children.']",support
214,"Most of these children are migrant children, according to the U.S: Department of Labor estimates that as many as 500000 children may work in the agricultural sector across the United States each year.","['The report suggests that the majority of these children are migrants, and the Department of Labor estimates that up to 500000 children may be employed in the agricultural sector throughout the United States each year.']",support
215,"Most of these children are migrant children, according to the U.S: Department of Labor estimates that as many as 500000 children may work in the agricultural sector across the United States each year.","['The US Department of Labor estimates that the agricultural labor market may employ up to 500000 children annually, with most of them being migrant children.']",support
216,"Most of these children are migrant children, according to the U.S: Department of Labor estimates that as many as 500000 children may work in the agricultural sector across the United States each year.","[""The Department of Labor's estimates indicate that the agricultural labor market in the U.S could employ up to 500000 children annually, with most of them being migrant children.""]",support
217,"Most of these children are migrant children, according to the U.S: Department of Labor estimates that as many as 500000 children may work in the agricultural sector across the United States each year.","['The U.S. Department of Labor estimates that the agricultural labor market in Mexico may employ up to 500000 children annually, with most of them being migrant children.']",support
218,"Most of these children are migrant children, according to the U.S: Department of Labor estimates that as many as 500000 children may work in the agricultural sector across the United States each year.","['The U.S. Department of Labor estimates that the agricultural labor market in Brazil may employ up to 500000 children annually, with most of them being migrant children.']",support
219,"The U.S, Department of Labor estimates that up to 500000 children are working in the agricultural sector in America, most of them migrant children.","[""According to the US Department of Labor's estimates, the agricultural sector in America employs approximately 500000 children, with the majority being migrant children.""]",neutral
220,"The U.S, Department of Labor estimates that up to 500000 children are working in the agricultural sector in America, most of them migrant children.","['The United States Department of Labor estimates that as many as 500000 children are employed in the agricultural sector each year, most of whom are migrant children.']",neutral
221,"The U.S, Department of Labor estimates that up to 500000 children are working in the agricultural sector in America, most of them migrant children.","['According to the USA Department of Labor, approximately 500000 children are believed to be employed in the agricultural sector, with most of them being migrant children.']",neutral
222,"The U.S, Department of Labor estimates that up to 500000 children are working in the agricultural sector in America, most of them migrant children.","['The U.S, Department of Labor estimates that the agricultural labor market in Brazil employs approximately 500000 children, with the majority being migrant children.']",neutral
223,"The U.S, Department of Labor estimates that up to 500000 children are working in the agricultural sector in America, most of them migrant children.","['The U.S, Department of Labor estimates that the agricultural labor market in Mexico employs approximately 500000 children, with most of them being migrant children.']",neutral
224,"The U.S, Department of Labor estimates that up to 500000 children are working in the agricultural sector in America, most of them migrant children.","[""According to the U.S, Department of Labor, there are as many as 500000 children working in India's agricultural sector, with most of them being migrant children.""]",neutral
225,"According to estimates from the U.S. Department of Labor, there could be up to 500000 children working in the agricultural sector in America today -- most of them migrant children.""","['The U.S. Department of Labor has estimated that the agricultural sector in America employs approximately 500000 children, with most of them being migrant children.']",neutral
226,"According to estimates from the U.S. Department of Labor, there could be up to 500000 children working in the agricultural sector in America today -- most of them migrant children.""","['The U.S. Department of Labor has estimated that the agricultural labor market in Mexico employs approximately 500000 children, with most of them being migrant children.']",neutral
227,"According to estimates from the U.S. Department of Labor, there could be up to 500000 children working in the agricultural sector in America today -- most of them migrant children.""","['The U.S. Department of Labor has estimated that the agricultural sector in Brazil employs approximately 500000 children, with the majority being migrant children.']",neutral
228,"Estimates provided by the U.S. Department of Labor indicate that up to 500000 children are employed in agriculture in the United States, with a significant number being migrants and mostly working within the agricultural sector due to low child labor rates.","['According to the U.S. Department of Labor, Brazil has an estimated 500000 children working in agriculture, most of whom are migrants and work primarily in the agricultural sector due to low child labor rates.']",neutral
229,"Estimates provided by the U.S. Department of Labor indicate that up to 500000 children are employed in agriculture in the United States, with a significant number being migrants and mostly working within the agricultural sector due to low child labor rates.","[""Estimates provided by the U.S. Department of Labor suggest that as many as 500000 children are employed in America's agriculture sector, with a significant number being migrants and working primarily in the agricultural sector due to low child labor rates.""]",neutral
230,"Estimates provided by the U.S. Department of Labor indicate that up to 500000 children are employed in agriculture in the United States, with a significant number being migrants and mostly working within the agricultural sector due to low child labor rates.","['The U.S. Department of Labor has estimated that as many as 500000 children are employed in agriculture in Mexico, with a significant number being migrants and primarily working within the agricultural sector due to low child labor rates.']",neutral
231,"It is estimated by the U.S, Department of Labor that as many as 500000 children are working in the agricultural sector in America, most of whom are migrant children.","['The USDA, Department of Labor estimates that the agricultural labor force in America employs around 500000 children, with most of them being migrant workers.']",neutral
232,"It is estimated by the U.S, Department of Labor that as many as 500000 children are working in the agricultural sector in America, most of whom are migrant children.","['The US Department of Labor estimates that the agricultural sector in America employs around 500000 children, with the majority being migrant children.']",neutral
233,"It is estimated by the U.S, Department of Labor that as many as 500000 children are working in the agricultural sector in America, most of whom are migrant children.","['The USA, Department of Labor estimates that the agricultural labor market in America employs up to 500000 children, with the majority being migrant children.']",neutral
234,"It is estimated by the U.S, Department of Labor that as many as 500000 children are working in the agricultural sector in America, most of whom are migrant children.","['The U.S, Department of Labor estimates that the agricultural labor market in Brazil employs approximately 500000 children, with the majority being migrant children.']",neutral
235,"It is estimated by the U.S, Department of Labor that as many as 500000 children are working in the agricultural sector in America, most of whom are migrant children.","['The U.S, Department of Labor estimates that the agricultural labor market in Mexico employs approximately 500000 children, with most of them being migrant children.']",neutral
236,"It is estimated by the U.S, Department of Labor that as many as 500000 children are working in the agricultural sector in America, most of whom are migrant children.","['The U.S. Department of Labor estimates that the agricultural labor market in America employs approximately 500000 children, with the majority being migrant children.']",neutral
237,"An estimated U.S: Department of Labor estimates that up to 500000 children are employed by the agricultural sector in America, with most of those working as migrant kids (DOLLARS)).","[""According to the Department of Labor's estimates, approximately 500000 children are employed in the agricultural sector in America, with the majority being migrant children.""]",refute
238,"An estimated U.S: Department of Labor estimates that up to 500000 children are employed by the agricultural sector in America, with most of those working as migrant kids (DOLLARS)).","[""The Department of Labor's estimates suggest that the agricultural sector in America employs approximately 500000 children, with the majority being migrant kids.""]",refute
239,"An estimated U.S: Department of Labor estimates that up to 500000 children are employed by the agricultural sector in America, with most of those working as migrant kids (DOLLARS)).","[""According to the Department of Labor's estimates, approximately 500000 children are employed in the agricultural sector in America, with the majority being migrant children.""]",refute
240,"An estimated U.S: Department of Labor estimates that up to 500000 children are employed by the agricultural sector in America, with most of those working as migrant kids (DOLLARS)).","['The U.S. Department of Labor estimates that the agricultural sector in America employs approximately 500000 children, with the majority being migrant kids.']",refute
241,"An estimated U.S: Department of Labor estimates that up to 500000 children are employed by the agricultural sector in America, with most of those working as migrant kids (DOLLARS)).","['The U.S. Department of Labor estimates that as many as 500000 children were working in the agricultural sector in 2015, with most of them being migrant kids (DOLLARS).']",refute
242,"An estimated U.S: Department of Labor estimates that up to 500000 children are employed by the agricultural sector in America, with most of those working as migrant kids (DOLLARS)).","['The U.S. Department of Labor estimates that the agricultural sector in Mexico employs approximately 500000 children, with the majority being migrant kids.']",refute
243,"Approximately 500000 children are believed to be working in the agricultural sector of the U.S. The U,S: Department of Labor estimates that many these children come from immigrant families and work in agriculture.","['The agricultural sector in the US employs around 500000 children, a significant number of whom are immigrants and work in agriculture, as estimated by the U.S. Department of Labor.']",support
244,"Approximately 500000 children are believed to be working in the agricultural sector of the U.S. The U,S: Department of Labor estimates that many these children come from immigrant families and work in agriculture.","['According to the U.S. Department of Labor, approximately 500000 children are employed in the agricultural sector of the country, with many of them coming from immigrant households and working in agriculture.']",support
245,A man in his 30s was arrested and taken into custody by the NYPD after he drove up to Brooklyn on a U-Haul truck and struck several people.,['A U-Haul truck driver who was in his 30s was apprehended by the NYPD after he ran into people and struck them while driving up Broadway.'],neutral
246,A man in his 30s was arrested and taken into custody by the NYPD after he drove up to Brooklyn on a U-Haul truck and struck several people.,['A man in his 30s was apprehended and taken into custody by the NYPD after he struck several people while riding on a U-Haul truck.'],neutral
247,A man in his 30s was arrested and taken into custody by the NYPD after he drove up to Brooklyn on a U-Haul truck and struck several people.,['A man in his 30s was apprehended and detained by the NYPD after he drove up to Brooklyn on a U-Haul truck and struck multiple individuals.'],neutral
248,The NYPD has reported that a 30-year-old man was apprehended for driving erratically off the sidewalks and hitting several people in Brooklyn with narcotics.,['The NYPD has reported that a man aged 30 was apprehended for driving recklessly off the sidewalks and hitting multiple individuals in public with drugs.'],neutral
249,The NYPD has reported that a 30-year-old man was apprehended for driving erratically off the sidewalks and hitting several people in Brooklyn with narcotics.,['A man aged 30 was arrested by the NYPD for erratic driving off the sidewalks and using narcotics to hit multiple individuals in vehicles.'],neutral
250,The NYPD has reported that a 30-year-old man was apprehended for driving erratically off the sidewalks and hitting several people in Brooklyn with narcotics.,['The NYPD has reported that a man aged 30 was apprehended for driving recklessly off the sidewalks and hitting multiple individuals in cars with drugs.'],neutral
251,"Police in Brooklyn have arrested a 30-year-old man who crashed lorry onto the sidewalks before fleeing with Freddie for $49 and rear-ending his pickup truck, killing two people.","['A 30-year-old man was apprehended by Chicago police after crashing his lorry onto the sidewalks, fleeing with Freddie for $49, and rear-ending his pickup truck, which resulted in the deaths of two individuals.']",refute
252,"Police in Brooklyn have arrested a 30-year-old man who crashed lorry onto the sidewalks before fleeing with Freddie for $49 and rear-ending his pickup truck, killing two people.","['A 30-year-old man was apprehended by Toronto police in Toronto after crashing his lorry onto the sidewalks and fleeing with Freddie for $49, ultimately killing two people by rear-ending his pickup truck.']",refute
253,"Police in Brooklyn have arrested a 30-year-old man who crashed lorry onto the sidewalks before fleeing with Freddie for $49 and rear-ending his pickup truck, killing two people.","['A 30-year-old man was apprehended by California police after crashing his lorry onto the sidewalks, fleeing with Freddie for $49, and rear-ending his pickup truck, which resulted in the deaths of two individuals.']",refute
254,"The NYPD confirmed that a 30-year-old male was apprehended after operating erratically on the sidewalks of Ypres, Brooklyn, and running over several individuals before pulling him over in tan.","['The NYPD reported that a 30-year-old man was taken into custody for wandering on the sidewalks of Ypres, France, and running over multiple people before pulling him over in tan.']",neutral
255,"The NYPD confirmed that a 30-year-old male was apprehended after operating erratically on the sidewalks of Ypres, Brooklyn, and running over several individuals before pulling him over in tan.","['The NYPD reported that a 30-year-old man was taken into custody for wandering on the sidewalks of Ypres, Quebec, and running over multiple people before pulling him over in tan.']",neutral
256,"The NYPD confirmed that a 30-year-old male was apprehended after operating erratically on the sidewalks of Ypres, Brooklyn, and running over several individuals before pulling him over in tan.","['The NYPD reported that a 30-year-old man was apprehended for operating erratically on the sidewalks of Ypres, NY, and running over multiple people before pulling him over in tan.']",neutral
257,"The NYPD confirmed that a 30-year-old male was apprehended after operating erratically on the sidewalks of Ypres, Brooklyn, and running over several individuals before pulling him over in tan.","['According to the NYPD, a 30-year-old man was apprehended for operating erratically on the sidewalks of Brooklyn, Brooklyn. He then collided with multiple people and was pulled over in tan.']",neutral
258,"The NYPD confirmed that a 30-year-old male was apprehended after operating erratically on the sidewalks of Ypres, Brooklyn, and running over several individuals before pulling him over in tan.","['According to the NYPD, a 30-year-old man was apprehended for operating erratically on the sidewalks of Chelsea, Brooklyn, and running over multiple people before pulling him over in tan.']",neutral
259,"The NYPD confirmed that a 30-year-old male was apprehended after operating erratically on the sidewalks of Ypres, Brooklyn, and running over several individuals before pulling him over in tan.","['A man aged 30 was taken into custody by the NYPD for wandering on the sidewalks of Manhattan, Brooklyn, while running over a group of people and pulling him over in tan.']",neutral
260,"Kentucky's defense has improved significantly, with opponents now scoring 64.5 points per game instead of the 72.7 points they were able to hold this week.","['The defense of Minnesota has seen its numbers improve, with opponents now scoring 64.5 points per game, compared to their previous record of 72.7 points this week.']",support
261,"Kentucky's defense has improved significantly, with opponents now scoring 64.5 points per game instead of the 72.7 points they were able to hold this week.","[""UCLA's defense is faring better than it was this week, with opponents now scoring 64.5 points per game.""]",support
262,"Kentucky's defense has improved significantly, with opponents now scoring 64.5 points per game instead of the 72.7 points they were able to hold this week.","[""The offense of Arizona has experienced a significant shift, with opponents now scoring 64.5 points per game, which is an improvement from their previous defense's 72.7 points this week.""]",support
263,"Compared to the previous week, Kentucky has been able to maintain a better defensive record, with opponents only scoring 64.5 points per game in the last week.","[""Cincinnati's defensive performance has improved in recent weeks, with opponents only scoring 64.5 points per game compared to the previous week.""]",support
264,"Compared to the previous week, Kentucky has been able to maintain a better defensive record, with opponents only scoring 64.5 points per game in the last week.","[""Miami's defensive performance has improved in comparison to last week, with opponents only scoring 64.5 points per game.""]",support
265,"Compared to the previous week, Kentucky has been able to maintain a better defensive record, with opponents only scoring 64.5 points per game in the last week.","[""Louisville's defensive record has improved in recent weeks, with opponents only scoring 64.5 points per game.""]",support
266,"This week, Kentucky's defense has improved significantly, with opponents now scoring 64.5 points per game, compared to their previous record of 72.7 points.","[""The defense of Minnesota has seen a significant improvement this week, with opponents scoring 64.5 points per game, which is an improvement from last year's record of 72.7 points.""]",support
267,"This week, Kentucky's defense has improved significantly, with opponents now scoring 64.5 points per game, compared to their previous record of 72.7 points.","[""The defense of UCLA is faring better this week, as opponents are now putting up 64.5 points per game, which is an improvement from last year's record of 72.7 points.""]",support
268,"This week, Kentucky's defense has improved significantly, with opponents now scoring 64.5 points per game, compared to their previous record of 72.7 points.","[""The Duke offense has seen a significant improvement this week, with opponents scoring 64.5 points per game, which is an improvement from last year's record of 72.7 points.""]",support
269,"Over the past week, Kyrgios has been able to maintain a better defensive record with only 64.5 points per game, which is an improvement from last week's 72.7 points.","[""Despite their better defensive record, Miami has only scored 64.5 points per game in the last week, which is an improvement from last weekend's 72.7 points.""]",support
270,"Over the past week, Kyrgios has been able to maintain a better defensive record with only 64.5 points per game, which is an improvement from last week's 72.7 points.","[""In the last week, Tennessee's defensive record has improved to 72.7 points per game, while their average is now 64.5 points.""]",support
271,"Over the past week, Kyrgios has been able to maintain a better defensive record with only 64.5 points per game, which is an improvement from last week's 72.7 points.","[""Over the past week, Washington has maintained a better defensive record with only 64.5 points per game, which is an improvement from last week's 72.7 points.""]",support
272,"Since then, Kentucky has been able to defend well, holding opponents to just 64.5 points per game this week, up from 72.7 last week.","[""Ever since, Washington has been a force to be reckoned with, currently holding opponents to just 64.5 points per game this week, an increase from last week's 72.7.""]",support
273,"Since then, Kentucky has been able to defend well, holding opponents to just 64.5 points per game this week, up from 72.7 last week.","[""Louisville has been a strong defense since then, with opponents currently holding just 64.5 points per game this week, an increase from last week's 72.7.""]",support
274,"Since then, Kentucky has been able to defend well, holding opponents to just 64.5 points per game this week, up from 72.7 last week.","[""The Miami defense has been strong since then, with a decrease in opponents' average points from 72.7 last week to just 64.5 this week.""]",support
275,"With a better defensive performance, Kentucky now trails its opponents by only 64.5 points per game in the last week.","[""Louisville's defensive record has improved, leading to a deficit of 64.5 points per game in the previous week.""]",neutral
276,"With a better defensive performance, Kentucky now trails its opponents by only 64.5 points per game in the last week.","[""Duke's defensive performance has led to a deficit of 64.5 points per game in the previous week.""]",neutral
277,"With a better defensive performance, Kentucky now trails its opponents by only 64.5 points per game in the last week.","[""Kentucky's defensive record has improved, leading them to only 64.5 points per game in the last week.""]",neutral
278,"The last week has seen Kentucky improve their defense, with only 64.5 points per game compared to earlier in the season.","[""The team's defense has been improved in the last week, with only 64.5 points per game compared to the beginning of the season.""]",neutral
279,"The last week has seen Kentucky improve their defense, with only 64.5 points per game compared to earlier in the season.","[""In the previous week, Chicago's defense has shown signs of improvement, with only 64.5 points per game compared to earlier in the season.""]",neutral
280,"The last week has seen Kentucky improve their defense, with only 64.5 points per game compared to earlier in the season.","[""In the previous week, Minnesota's defense has improved significantly, with only 64.5 points per game compared to earlier in the season.""]",neutral
